epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.4193548262119293,0.38025206327438354,0.0010000000474974513,0.7406865358352661,0.2857142984867096,1.0,0.7582637071609497
1,0.6129032373428345,0.888655424118042,0.0010000000474974513,0.5631620287895203,0.2857142984867096,1.0,0.684951901435852
2,0.8387096524238586,0.9642857313156128,0.0010000000474974513,0.3704949915409088,1.0,1.0,0.3436974883079529
3,1.0,1.0,0.0010000000474974513,0.20113183557987213,1.0,1.0,0.1900697648525238
4,1.0,1.0,0.0010000000474974513,0.09739069640636444,1.0,1.0,0.1063004732131958
5,1.0,0.9999999403953552,0.0010000000474974513,0.07672218978404999,1.0,1.0,0.055171430110931396
6,1.0,0.9999999403953552,0.0010000000474974513,0.02694896049797535,1.0,1.0,0.023401394486427307
7,1.0,1.0,0.0010000000474974513,0.012072538025677204,1.0,1.0,0.00924169085919857
8,1.0,1.0,0.0010000000474974513,0.008211658336222172,1.0,1.0,0.004065419547259808
9,1.0,1.0,0.0010000000474974513,0.0030133866239339113,1.0,1.0,0.0020881176460534334
10,1.0,1.0,0.0010000000474974513,0.007654241286218166,1.0,1.0,0.0011771933641284704
11,1.0,1.0,0.0010000000474974513,0.001556094386614859,1.0,1.0,0.0007252815994434059
12,1.0,1.0,0.0010000000474974513,0.0025824331678450108,1.0,1.0,0.00048046751180663705
13,1.0,1.0,0.0010000000474974513,0.004047681111842394,1.0,1.0,0.0003332568157929927
14,1.0,1.0,0.0010000000474974513,0.0010556223569437861,1.0,1.0,0.00024251625291071832
15,1.0,1.0,0.0010000000474974513,0.000846194161567837,1.0,1.0,0.00018459201965015382
16,1.0,1.0,0.0010000000474974513,0.001195210381411016,1.0,1.0,0.00014504080172628164
17,1.0,1.0,0.0010000000474974513,0.002707496751099825,1.0,1.0,0.00011624816397670656
18,1.0,1.0,0.0010000000474974513,0.0010438073659315705,1.0,1.0,9.446792682865635e-05
19,1.0,1.0,0.0005000000237487257,0.0014987840550020337,1.0,1.0,8.579932182328776e-05
20,1.0,1.0,0.0005000000237487257,0.002509103389456868,1.0,1.0,7.861619087634608e-05
21,1.0,1.0,0.0005000000237487257,0.0003957044973503798,1.0,1.0,7.284754246938974e-05
22,1.0,1.0,0.0005000000237487257,0.000592381926253438,1.0,1.0,6.814883818151429e-05
23,1.0,1.0,0.0005000000237487257,0.0018703575478866696,1.0,1.0,6.369606853695586e-05
24,1.0,1.0,0.0002500000118743628,0.00040341701242141426,1.0,1.0,6.183064397191629e-05
