epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.5249999761581421,0.5669949650764465,0.0010000000474974513,0.7336059808731079,0.30000001192092896,0.0,0.8647401928901672
1,0.574999988079071,0.6264853477478027,0.0010000000474974513,0.7100750803947449,0.44999998807907104,0.0,0.7531484961509705
2,0.7124999761581421,0.8022983074188232,0.0010000000474974513,0.5688028931617737,0.925000011920929,0.0,0.4630281329154968
3,0.706250011920929,0.7908849120140076,0.0010000000474974513,0.5872696042060852,0.875,0.0,0.5307484269142151
4,0.75,0.8270794153213501,0.0010000000474974513,0.5334633588790894,0.4000000059604645,0.0,0.8432340621948242
5,0.8062499761581421,0.909552812576294,0.0010000000474974513,0.46372923254966736,0.8999999761581421,0.0,0.4657784402370453
6,0.8187500238418579,0.9026734828948975,0.0005000000237487257,0.44977468252182007,0.8999999761581421,0.0,0.4447949528694153
7,0.856249988079071,0.928392767906189,0.0005000000237487257,0.41000670194625854,0.7749999761581421,0.0,0.5197311639785767
8,0.8187500238418579,0.9139305353164673,0.0005000000237487257,0.4270206391811371,0.625,0.0,0.6214112043380737
9,0.8374999761581421,0.8991557359695435,0.0005000000237487257,0.44001492857933044,0.7250000238418579,0.0,0.5802221298217773
0,0.6812499761581421,0.7824421525001526,9.999999747378752e-05,0.5928444862365723,0.8999999761581421,0.0,0.3674786686897278
1,0.706250011920929,0.8060506582260132,9.999999747378752e-05,0.5655407309532166,0.8999999761581421,0.0,0.3166601359844208
2,0.768750011920929,0.8552219867706299,9.999999747378752e-05,0.5308349132537842,0.8999999761581421,0.0,0.2827228009700775
3,0.8187500238418579,0.9307379722595215,9.999999747378752e-05,0.47503232955932617,0.925000011920929,0.0,0.2508501410484314
4,0.793749988079071,0.8720293641090393,9.999999747378752e-05,0.4945581555366516,0.925000011920929,0.0,0.23075053095817566
5,0.78125,0.903377115726471,9.999999747378752e-05,0.47237786650657654,0.925000011920929,0.0,0.21672376990318298
6,0.862500011920929,0.9344903230667114,9.999999747378752e-05,0.44102102518081665,0.925000011920929,0.0,0.21103978157043457
7,0.8687499761581421,0.9378517866134644,9.999999747378752e-05,0.41432538628578186,0.925000011920929,0.0,0.18842285871505737
8,0.862500011920929,0.9407442212104797,9.999999747378752e-05,0.4147147238254547,0.925000011920929,0.0,0.1706862449645996
9,0.887499988079071,0.9666197299957275,9.999999747378752e-05,0.3693081736564636,0.9750000238418579,0.0,0.15434345602989197
10,0.9125000238418579,0.9723264575004578,9.999999747378752e-05,0.3447355628013611,0.9750000238418579,0.0,0.1441425383090973
11,0.8999999761581421,0.9641963839530945,9.999999747378752e-05,0.33514684438705444,0.9750000238418579,0.0,0.13673417270183563
12,0.9312499761581421,0.983817994594574,9.999999747378752e-05,0.3108939230442047,0.9750000238418579,0.0,0.1246427521109581
13,0.949999988079071,0.9726392030715942,9.999999747378752e-05,0.292111873626709,0.9750000238418579,0.0,0.11610646545886993
14,0.956250011920929,0.9906973242759705,9.999999747378752e-05,0.26175588369369507,0.9750000238418579,0.0,0.1102306991815567
15,0.9437500238418579,0.9914790391921997,9.999999747378752e-05,0.23399241268634796,0.9750000238418579,0.0,0.10543526709079742
16,0.949999988079071,0.9891338348388672,9.999999747378752e-05,0.24496865272521973,0.9750000238418579,0.0,0.09737896174192429
17,0.949999988079071,0.9886648058891296,9.999999747378752e-05,0.22665758430957794,0.9750000238418579,0.0,0.08747955411672592
18,0.96875,0.995700478553772,9.999999747378752e-05,0.19296061992645264,0.9750000238418579,0.0,0.08259586989879608
19,0.9624999761581421,0.9941369891166687,9.999999747378752e-05,0.20366688072681427,0.9750000238418579,0.0,0.07690946757793427
