epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.550000011920929,0.6105461120605469,0.0010000000474974513,0.6868557929992676,0.625,0.905370831489563,0.6758533716201782
1,0.5687500238418579,0.6821310520172119,0.0010000000474974513,0.680472731590271,0.699999988079071,0.9322251081466675,0.6711050868034363
2,0.706250011920929,0.798231840133667,0.0010000000474974513,0.6709343194961548,0.8500000238418579,0.9437340497970581,0.6660147905349731
3,0.612500011920929,0.754889726638794,0.0010000000474974513,0.6733940839767456,0.875,0.9450128078460693,0.6606303453445435
4,0.731249988079071,0.8350023031234741,0.0010000000474974513,0.665668785572052,0.925000011920929,0.9462915658950806,0.6553882360458374
5,0.8062499761581421,0.8684086799621582,0.0010000000474974513,0.6590968370437622,0.925000011920929,0.9475703239440918,0.650012195110321
6,0.7749999761581421,0.8796745538711548,0.0010000000474974513,0.6552528738975525,0.949999988079071,0.9641943573951721,0.6446819305419922
7,0.8125,0.9008762240409851,0.0010000000474974513,0.6463050842285156,0.949999988079071,0.9629155397415161,0.639072060585022
8,0.800000011920929,0.9058050513267517,0.0010000000474974513,0.6443049311637878,0.949999988079071,0.9667519330978394,0.6332902908325195
9,0.862500011920929,0.9426537752151489,0.0010000000474974513,0.6340546607971191,0.949999988079071,0.9731457829475403,0.6273922920227051
10,0.887499988079071,0.9360038042068481,0.0010000000474974513,0.6308048367500305,0.949999988079071,0.9744244813919067,0.62127286195755
11,0.875,0.9441401958465576,0.0010000000474974513,0.621887743473053,0.949999988079071,0.9718669652938843,0.6148249506950378
12,0.8500000238418579,0.9180879592895508,0.0010000000474974513,0.6213526725769043,0.949999988079071,0.97826087474823,0.6080461144447327
13,0.8999999761581421,0.9543107151985168,0.0010000000474974513,0.602351725101471,0.949999988079071,0.9731458425521851,0.60077303647995
14,0.887499988079071,0.9521201848983765,0.0010000000474974513,0.5999356508255005,0.949999988079071,0.9795396327972412,0.5928742289543152
15,0.8999999761581421,0.9569706916809082,0.0010000000474974513,0.599536120891571,0.949999988079071,0.9744244813919067,0.5846086144447327
16,0.887499988079071,0.948051929473877,0.0010000000474974513,0.589212954044342,0.949999988079071,0.9795396327972412,0.5760660171508789
17,0.9375,0.9645595550537109,0.0010000000474974513,0.5738634467124939,0.949999988079071,0.9769821166992188,0.5670443773269653
18,0.9125000238418579,0.9517289996147156,0.0010000000474974513,0.5722681283950806,0.949999988079071,0.9757032990455627,0.5577043294906616
19,0.893750011920929,0.93459552526474,0.0010000000474974513,0.5689477920532227,0.949999988079071,0.9795396327972412,0.5481814742088318
20,0.90625,0.943514347076416,0.0010000000474974513,0.5564096570014954,0.949999988079071,0.9744245409965515,0.5383531451225281
21,0.918749988079071,0.9532936811447144,0.0010000000474974513,0.543084442615509,0.949999988079071,0.9795396327972412,0.5281127095222473
22,0.9375,0.9634642601013184,0.0010000000474974513,0.5247783660888672,0.949999988079071,0.9769821166992188,0.5177791118621826
23,0.9125000238418579,0.9614301323890686,0.0010000000474974513,0.5364309549331665,0.949999988079071,0.9795396327972412,0.5073708295822144
24,0.9125000238418579,0.9439836740493774,0.0010000000474974513,0.5189727544784546,0.949999988079071,0.9769821166992188,0.49689802527427673
25,0.918749988079071,0.9489908218383789,0.0010000000474974513,0.5080311298370361,0.949999988079071,0.9795395731925964,0.4865308403968811
26,0.8999999761581421,0.9525113105773926,0.0010000000474974513,0.49972182512283325,0.949999988079071,0.976982057094574,0.4765259623527527
27,0.887499988079071,0.9648725390434265,0.0010000000474974513,0.4847692549228668,0.949999988079071,0.9769821166992188,0.46662798523902893
28,0.8999999761581421,0.9621342420578003,0.0010000000474974513,0.4870029091835022,0.949999988079071,0.9769821166992188,0.4570554196834564
29,0.9125000238418579,0.9579878449440002,0.0010000000474974513,0.4761527478694916,0.949999988079071,0.9769821166992188,0.4475756287574768
30,0.9125000238418579,0.9514161348342896,0.0010000000474974513,0.46802911162376404,0.949999988079071,0.976982057094574,0.43830960988998413
31,0.9312499761581421,0.9544671773910522,0.0010000000474974513,0.4475034177303314,0.949999988079071,0.9769821166992188,0.42903679609298706
32,0.90625,0.9435925483703613,0.0010000000474974513,0.45463958382606506,0.949999988079071,0.979539692401886,0.41982555389404297
33,0.918749988079071,0.9550148248672485,0.0010000000474974513,0.43999776244163513,0.949999988079071,0.9795396327972412,0.41061729192733765
34,0.893750011920929,0.9501643180847168,0.0010000000474974513,0.4371117651462555,0.949999988079071,0.9795396327972412,0.40186673402786255
35,0.925000011920929,0.9665936231613159,0.0010000000474974513,0.4116113781929016,0.949999988079071,0.9795396327972412,0.39321964979171753
36,0.8999999761581421,0.9529025554656982,0.0010000000474974513,0.4132203161716461,0.949999988079071,0.9769821166992188,0.38494351506233215
37,0.90625,0.9622125029563904,0.0010000000474974513,0.4036533236503601,0.949999988079071,0.9795396327972412,0.37704530358314514
38,0.9125000238418579,0.9604130983352661,0.0010000000474974513,0.4014386534690857,0.949999988079071,0.9795396327972412,0.3692459464073181
39,0.918749988079071,0.9636989831924438,0.0010000000474974513,0.3938993513584137,0.949999988079071,0.9795396327972412,0.3611820340156555
40,0.90625,0.9532154202461243,0.0010000000474974513,0.38924819231033325,0.949999988079071,0.9795395731925964,0.35347843170166016
41,0.9125000238418579,0.9654983282089233,0.0010000000474974513,0.37461844086647034,0.949999988079071,0.9795396327972412,0.3458254933357239
42,0.9125000238418579,0.9676107168197632,0.0010000000474974513,0.3521521985530853,0.949999988079071,0.9795396327972412,0.3382345139980316
43,0.925000011920929,0.9695665836334229,0.0010000000474974513,0.34758836030960083,0.949999988079071,0.9795396327972412,0.3309195041656494
44,0.9125000238418579,0.9564231634140015,0.0010000000474974513,0.36581823229789734,0.949999988079071,0.9795396327972412,0.32395878434181213
45,0.9125000238418579,0.9556407332420349,0.0010000000474974513,0.358775794506073,0.949999988079071,0.9795396327972412,0.3173254132270813
46,0.90625,0.9538413286209106,0.0010000000474974513,0.3584307134151459,0.949999988079071,0.9795396327972412,0.31105858087539673
47,0.925000011920929,0.9688624739646912,0.0010000000474974513,0.3317311704158783,0.949999988079071,0.9795396327972412,0.30493414402008057
48,0.9125000238418579,0.9625253677368164,0.0010000000474974513,0.3467491567134857,0.949999988079071,0.9808184504508972,0.2987888753414154
49,0.925000011920929,0.9575966596603394,0.0010000000474974513,0.34272295236587524,0.949999988079071,0.9808184504508972,0.2928195595741272
