epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.5625,0.5693402290344238,0.0010000000474974513,0.9248977899551392,0.30000001192092896,0.0,0.9854875802993774
1,0.59375,0.695825457572937,0.0010000000474974513,0.7577123641967773,0.925000011920929,0.0,0.4680366516113281
2,0.762499988079071,0.8416197896003723,0.0010000000474974513,0.5482063889503479,0.625,0.0,0.6891295909881592
3,0.7562500238418579,0.8547530174255371,0.0010000000474974513,0.4762185215950012,0.3499999940395355,0.0,0.8969270586967468
4,0.84375,0.9205753803253174,0.0010000000474974513,0.38067907094955444,0.6000000238418579,0.0,0.7272912859916687
5,0.8374999761581421,0.9237805008888245,0.0005000000237487257,0.3780819773674011,0.699999988079071,0.0,0.6804949641227722
6,0.9125000238418579,0.9344121217727661,0.0005000000237487257,0.3459152579307556,0.4000000059604645,0.0,0.924899697303772
0,0.737500011920929,0.8041744828224182,9.999999747378752e-05,0.5573397874832153,0.675000011920929,0.0,0.6377877593040466
1,0.800000011920929,0.8898530006408691,9.999999747378752e-05,0.43946734070777893,0.22499999403953552,0.0,1.2062090635299683
2,0.84375,0.93511563539505,9.999999747378752e-05,0.3552597165107727,0.07500000298023224,0.0,1.7944694757461548
3,0.9125000238418579,0.9717792272567749,9.999999747378752e-05,0.24129538238048553,0.05000000074505806,0.0,2.000685930252075
4,0.949999988079071,0.9871795177459717,4.999999873689376e-05,0.18129019439220428,0.05000000074505806,0.0,1.9567365646362305
5,0.956250011920929,0.9953877329826355,4.999999873689376e-05,0.14386434853076935,0.07500000298023224,0.0,2.0074448585510254
